gene_id	A	B	p-value	FDR	significance
58282	5.39687	30.1209	0.000723381	0.015736558	UP
22633	16.9106	99.7157	0.000725528	0.015745685	UP
105844	37.3393	232.445	0.000729496	0.015759446	UP
2148	83.7697	11.128	0.00072962	0.015759446	DOWN
55599	4.65446	26.7704	0.000748392	0.016114546	UP
107494	1.76691	16.0621	0.000749596	0.016114546	UP
69081	0.229778	3.02422	0.000760562	0.016311818	UP
79237	6.03293	34.4269	0.000762866	0.016322825	UP
123508	22.3373	143.368	0.00076948	0.016391155	UP
53824	13.6916	85.688	0.000769656	0.016391155	UP
123968	7.88506	45.0966	0.000778044	0.016531168	UP
120597	21.6811	113.964	0.000780692	0.016548855	UP
62462	125.218	23.6441	0.000790899	0.016726321	DOWN
110133	1.84916	13.8	0.000794849	0.016770946	UP
81102	41.8639	291.556	0.000803229	0.01690862	UP
63240	0.562959	3.89939	0.000808426	0.016972612	UP
60370	0.601354	5.62752	0.000809993	0.016972612	UP
23332	92.4833	9.96081	0.000820319	0.017149559	DOWN
121664	87.2657	15.7632	0.000824316	0.017193685	DOWN
119694	103.03	18.765	0.000842563	0.017529245	DOWN
120114	11.9038	1.92952	0.00084425	0.017529245	DOWN
61912	5.7056	33.2078	0.000856067	0.017734206	UP
79606	3.09592	17.4071	0.00086627	0.017904878	UP
61055	1.39752	10.6652	0.000873763	0.018001653	UP
122630	83.9414	11.9386	0.000874908	0.018001653	DOWN
121439	1.29108	11.5902	0.000876877	0.018001653	UP
62165	0.934418	8.9325	0.000883123	0.018073696	UP
109284	0.0963841	1.62947	0.000884352	0.018073696	UP
105224	24.079	3.70609	0.000890907	0.018166929	DOWN
107268	9.43989	54.9005	0.000897583	0.01819198	UP
44175	0.29564	3.47676	0.000897833	0.01819198	UP
123726	1.10001	8.94343	0.000898123	0.01819198	UP
77942	285.222	43.1913	0.000903978	0.018269977	DOWN
60890	113.114	22.566	0.000915765	0.018457134	DOWN
5836	0.274745	3.22114	0.000917947	0.018457134	UP
73832	4.96797	26.8584	0.000921313	0.018457134	UP
61995	1526.81	254.706	0.000921338	0.018457134	DOWN
111250	4.81357	0.308758	0.000952134	0.01903224	DOWN
123095	1.11529	8.2489	0.000965826	0.019263685	UP
107704	8.19995	48.7937	0.000972457	0.019313136	UP
122825	135.257	25.8674	0.000972543	0.019313136	DOWN
82374	159.499	1301.09	0.000977382	0.019367037	UP
52539	4.91763	25.3476	0.000998431	0.019741212	UP
123786	0.59236	3.25832	0.00100343	0.019797109	UP
50491	3.07036	16.9916	0.00101865	0.019994586	UP
56860	7.12624	41.1884	0.00101884	0.019994586	UP
75604	16.6379	92.1434	0.00102002	0.019994586	UP
106706	1.09245	7.97361	0.00102722	0.020092511	UP
80142	26.6036	332.012	0.0010315	0.020133025	UP
82246	28.8978	4.90366	0.0010482	0.020415263	DOWN
81553	4.30294	26.5111	0.00105618	0.020526825	UP
76887	502.569	60.1795	0.00106422	0.020639075	DOWN
112478	0.131164	2.22007	0.00107486	0.020801165	UP
58244	2.26971	12.6748	0.00108502	0.020953299	UP
59894	36.8914	6.67703	0.0010901	0.021004114	DOWN
123204	4.82695	27.7229	0.00109226	0.021004114	UP
111875	15.4737	2.39973	0.00109767	0.02106371	DOWN
2091	7.17754	36.3937	0.00111133	0.021281036	UP
65039	68.4605	9.15293	0.00114903	0.021956831	DOWN
110768	24.0725	3.99984	0.0011555	0.022034273	DOWN
61420	2.68797	17.8436	0.0011744	0.022347925	UP
110167	10.4051	66.9058	0.00117769	0.022349184	UP
55240	7.35732	44.8014	0.00117937	0.022349184	UP
104585	6.87865	0.352215	0.00119086	0.022520101	DOWN
119826	13.0057	2.36579	0.00120002	0.02264634	DOWN
4454	1.78146	18.0425	0.00120934	0.02277507	UP
34272	240.84	19.2762	0.00121533	0.022840686	DOWN
58802	1.21621	0.0501888	0.00123661	0.023167822	DOWN
112286	64.168	10.1809	0.00123782	0.023167822	DOWN
46764	36.1025	190.336	0.00126316	0.023593655	UP
59689	0.272849	2.65956	0.00126682	0.023613628	UP
62424	45.9723	8.7957	0.00127521	0.023721508	DOWN
120320	6.58509	35.6658	0.00127842	0.023726419	UP
66092	22.2773	128.52	0.00128068	0.023726419	UP
109531	2.42944	14.6215	0.00130721	0.024166879	UP
21392	19.1504	92.77	0.00131107	0.024166879	UP
50786	582.032	117.911	0.00131354	0.024166879	DOWN
81668	0.795291	5.9414	0.00131506	0.024166879	UP
124175	10.2989	55.0026	0.00131788	0.024169972	UP
64832	62.772	11.0625	0.00132166	0.024180272	DOWN
120524	20.7412	106.325	0.00132549	0.024180272	UP
124061	18.8638	92.4774	0.0013264	0.024180272	UP
74252	873.431	116.256	0.0013309	0.024213879	DOWN
57647	0.352387	3.39388	0.00134016	0.024333782	UP
121653	22.9071	113.51	0.00135746	0.024551723	UP
108458	0.122175	1.28109	0.00135755	0.024551723	UP
122523	13.352	70.0405	0.00136191	0.02455898	UP
63756	3.25764	0.555562	0.00136334	0.02455898	DOWN
111202	2.12399	11.3124	0.00137243	0.024657869	UP
55454	0.701804	4.26353	0.00137424	0.024657869	UP
3055	3.56907	23.032	0.00138553	0.024784951	UP
54129	2.97521	0.172563	0.00138785	0.024784951	DOWN
111345	16.8402	2.50324	0.00138948	0.024784951	DOWN
50212	222.881	32.1989	0.00139986	0.024915577	DOWN
74214	1.04605	7.94264	0.00140227	0.024915577	UP
108893	20.7159	3.75272	0.00141805	0.025136556	DOWN
103009	985.457	5614.64	0.00142188	0.025136556	UP
62323	9.17657	1.41594	0.00142298	0.025136556	DOWN
122047	27.9344	5.17177	0.00142965	0.025205531	DOWN
77557	0.579845	6.3116	0.00144051	0.02534797	UP
111451	1.9198	0.145986	0.0014436	0.025353399	DOWN
110276	3.39235	0.0881452	0.00144774	0.025377212	DOWN
123226	7.50907	38.1747	0.00147806	0.025858958	UP
112126	2.51169	14.2372	0.00149158	0.026045501	UP
44366	3.73867	19.2415	0.00149461	0.026048509	UP
79931	42.0366	8.36075	0.00149814	0.026060202	DOWN
56341	42.3948	7.244	0.0015119	0.026249464	DOWN
56682	6.88487	1.18472	0.00153187	0.026545618	DOWN
123806	1.03635	7.24495	0.00154282	0.026684638	UP
103771	0.165545	1.80708	0.00154633	0.026694693	UP
73904	137.634	26.0078	0.00157087	0.02703079	DOWN
122487	4743.66	651.131	0.00157173	0.02703079	DOWN
72524	10.432	0.897454	0.00157482	0.027032927	DOWN
67507	4.57189	26.7279	0.00160291	0.027463392	UP
26871	9.68403	45.4752	0.00161882	0.027683948	UP
122724	14.2523	1.98199	0.00166219	0.0283724	DOWN
58701	0.828144	6.14368	0.00168115	0.028642397	UP
73631	1.21077	0.0478021	0.00169076	0.028752383	DOWN
77202	3.764	22.7452	0.00170354	0.028869136	UP
45343	301.007	51.517	0.00170396	0.028869136	DOWN
122131	2.78109	16.9016	0.00171568	0.029013772	UP
112520	1.98189	15.239	0.00172837	0.029174245	UP
111362	120.924	632.759	0.00173381	0.029211974	UP
62230	1.99423	0.134719	0.00174559	0.029356186	DOWN
47020	76.4547	15.79	0.0017492	0.029362722	DOWN
122629	1.82796	13.8675	0.00177712	0.02977656	UP
74953	20.2974	99.9507	0.00179992	0.030084508	UP
77593	9.78184	1.74454	0.0018021	0.030084508	DOWN
122556	0.121908	3.47556	0.00181151	0.030186314	UP
122089	1.60708	10.8023	0.00182919	0.030425304	UP
31075	128.256	27.6944	0.00185308	0.030766529	DOWN
109296	6.93757	40.0924	0.00186331	0.030880128	UP
123241	28.2587	132.571	0.00186997	0.030934259	UP
47315	3.54378	18.2321	0.00188015	0.031031566	UP
59843	0.580113	4.05738	0.00188595	0.031031566	UP
21873	5.28754	27.3432	0.00188671	0.031031566	UP
66041	109.703	20.7298	0.00188947	0.031031566	DOWN
55802	148.164	28.6017	0.0018929	0.031031985	DOWN
82235	8.68423	41.0051	0.00190288	0.031056921	UP
61354	12.3317	1.88504	0.00190329	0.031056921	DOWN
58114	124.706	26.6427	0.00190469	0.031056921	DOWN
63107	5.72309	0.612105	0.00190805	0.031056921	DOWN
74060	1745.52	223.377	0.00193186	0.03138842	DOWN
68924	11.5009	60.565	0.00194509	0.031480689	UP
2837	1.54364	13.573	0.00194585	0.031480689	UP
123618	185.877	40.3398	0.0019479	0.031480689	DOWN
60116	7.83604	1.52618	0.00197903	0.031927183	DOWN
58712	15.0773	69.2234	0.00199945	0.032199623	UP
66544	6.91809	0.878788	0.00201252	0.032352945	DOWN
52050	9.71184	45.9613	0.00202844	0.032551462	UP
102909	0.821462	5.91578	0.00203807	0.03259604	UP
64916	10.5411	53.0244	0.00203837	0.03259604	UP
63653	1.04978	11.045	0.00204852	0.03270098	UP
105393	2.11891	0.17927	0.00205598	0.032762688	DOWN
78626	65.5222	320.421	0.00208933	0.033236026	UP
81096	52.8984	310.001	0.00214677	0.034090259	UP
62556	1.52573	10.7032	0.00219337	0.034769683	UP
106248	6.10014	29.1568	0.00222917	0.035275841	UP
58475	0.460335	3.87773	0.00224433	0.035454191	UP
106160	3.78354	20.6967	0.002249	0.035466497	UP
77743	4.42986	0.627232	0.00225961	0.035516598	DOWN
66163	128.512	28.772	0.00225997	0.035516598	DOWN
123539	0.621653	7.65995	0.00226893	0.035596036	UP
103149	1.91094	11.8362	0.00227647	0.035633396	UP
76633	54.7133	510.359	0.00227913	0.035633396	UP
61142	0.368346	4.30413	0.00229064	0.035752027	UP
66937	20.5479	189.699	0.00231362	0.036048968	UP
78953	4.98168	26.7541	0.00233999	0.036397626	UP
105851	0.952179	6.29843	0.00236594	0.036738574	UP
73513	14.9304	67.5961	0.00237972	0.036867096	UP
70098	0.152005	2.22757	0.00238861	0.036867096	UP
80685	0.179679	2.02882	0.00238938	0.036867096	UP
47603	12.903	66.1323	0.00239439	0.036867096	UP
67448	1.64237	9.27889	0.00239444	0.036867096	UP
122169	7.81742	35.8857	0.00240845	0.037020273	UP
47930	49.4074	262.141	0.00242527	0.037201609	UP
55990	0.961598	7.54089	0.00242841	0.037201609	UP
60616	5.25174	27.6109	0.00244126	0.037335713	UP
76696	3.71555	17.724	0.0024481	0.037341625	UP
77703	42.9636	8.84148	0.00244984	0.037341625	DOWN
123978	28.0311	200.58	0.00246494	0.037509062	UP
68941	22.3369	3.53137	0.00248478	0.037747949	DOWN
72567	1.21421	0.0405909	0.00249719	0.037870331	DOWN
119975	6634.74	713.48	0.00250512	0.037870331	DOWN
120623	214.242	40.9975	0.0025053	0.037870331	DOWN
